2026-03-28 12:34:04,765 - Reading configuration from: /home/sdc_joran/Journal/deeprl_signal_control/config/config_ppo_real.ini
2026-03-28 12:34:04,765 - Using frozen controller run dir: /home/sdc_joran/Journal/deeprl_signal_control/runs/ppo_real
2026-03-28 12:34:04,765 - Adversary output dir: /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh
2026-03-28 12:34:04,766 - Initializing Adversarial Environment...
2026-03-28 12:34:25,025 - Initializing GCN Adversary...
2026-03-28 12:34:25,164 - Start Training...
2026-03-28 12:34:27,196 - Training Finished.
2026-03-28 12:36:54,124 - Reading configuration from: /home/sdc_joran/Journal/deeprl_signal_control/config/config_ppo_real.ini
2026-03-28 12:36:54,124 - Using frozen controller run dir: /home/sdc_joran/Journal/deeprl_signal_control/runs/ppo_real
2026-03-28 12:36:54,124 - Adversary output dir: /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh
2026-03-28 12:36:54,125 - Initializing Adversarial Environment...
2026-03-28 12:37:14,320 - Initializing GCN Adversary...
2026-03-28 12:37:14,459 - Start Training...
2026-03-28 13:40:52,933 - Saved checkpoint at episode=159 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 13:41:17,742 - Episode 160: Steps=11, Reward=206783.00
2026-03-28 13:41:42,436 - Episode 161: Steps=11, Reward=194887.00
2026-03-28 13:42:06,050 - Episode 162: Steps=11, Reward=159121.00
2026-03-28 13:42:28,889 - Episode 163: Steps=11, Reward=81753.00
2026-03-28 13:42:52,647 - Episode 164: Steps=11, Reward=153158.00
2026-03-28 13:43:16,300 - Episode 165: Steps=11, Reward=147944.00
2026-03-28 13:43:39,190 - Episode 166: Steps=11, Reward=96633.00
2026-03-28 13:44:01,166 - Episode 167: Steps=11, Reward=69231.00
2026-03-28 13:44:24,500 - Episode 168: Steps=11, Reward=144599.00
2026-03-28 13:44:46,448 - Episode 169: Steps=11, Reward=83149.00
2026-03-28 13:44:46,459 - Saved checkpoint at episode=169 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 13:45:11,743 - Episode 170: Steps=11, Reward=222011.00
2026-03-28 13:45:34,708 - Episode 171: Steps=11, Reward=88931.00
2026-03-28 13:46:00,961 - Episode 172: Steps=11, Reward=279010.00
2026-03-28 13:46:23,255 - Episode 173: Steps=11, Reward=58605.00
2026-03-28 13:46:44,989 - Episode 174: Steps=11, Reward=59832.00
2026-03-28 13:47:08,072 - Episode 175: Steps=11, Reward=125086.00
2026-03-28 13:47:30,240 - Episode 176: Steps=11, Reward=68702.00
2026-03-28 13:47:53,871 - Episode 177: Steps=11, Reward=127407.00
2026-03-28 13:48:16,774 - Episode 178: Steps=11, Reward=88331.00
2026-03-28 13:48:38,711 - Episode 179: Steps=11, Reward=60445.00
2026-03-28 13:48:38,722 - Saved checkpoint at episode=179 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 13:49:02,277 - Episode 180: Steps=11, Reward=146960.00
2026-03-28 13:49:25,835 - Episode 181: Steps=11, Reward=131249.00
2026-03-28 13:49:50,636 - Episode 182: Steps=11, Reward=207075.00
2026-03-28 13:50:13,171 - Episode 183: Steps=11, Reward=94405.00
2026-03-28 13:50:36,176 - Episode 184: Steps=11, Reward=98224.00
2026-03-28 13:51:01,315 - Episode 185: Steps=11, Reward=220934.00
2026-03-28 13:51:23,363 - Episode 186: Steps=11, Reward=70931.00
2026-03-28 13:51:45,920 - Episode 187: Steps=11, Reward=70239.00
2026-03-28 13:52:12,404 - Episode 188: Steps=11, Reward=265001.00
2026-03-28 13:52:34,819 - Episode 189: Steps=11, Reward=63790.00
2026-03-28 13:52:34,827 - Saved checkpoint at episode=189 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 13:52:57,080 - Episode 190: Steps=11, Reward=84190.00
2026-03-28 13:53:21,407 - Episode 191: Steps=11, Reward=178604.00
2026-03-28 13:53:44,330 - Episode 192: Steps=11, Reward=114700.00
2026-03-28 13:54:08,337 - Episode 193: Steps=11, Reward=177127.00
2026-03-28 13:54:30,551 - Episode 194: Steps=11, Reward=57761.00
2026-03-28 13:54:56,625 - Episode 195: Steps=11, Reward=257859.00
2026-03-28 13:55:20,071 - Episode 196: Steps=11, Reward=127382.00
2026-03-28 13:55:42,236 - Episode 197: Steps=11, Reward=79479.00
2026-03-28 13:56:05,821 - Episode 198: Steps=11, Reward=162215.00
2026-03-28 13:56:29,069 - Episode 199: Steps=11, Reward=96337.00
